condition,pop_size,tournament_size,p_clone,p_mutation_operator,p_crossover,p_bit_factor,n_runs,best_of_run_mean,best_of_run_std,final_best_mean,final_best_std,ideal_found_fraction,first_ideal_generation_mean
pc0.10_pmop0.10_pbf0.50,200,2,0.1,0.1,0.8,0.5,3,26.333333333333332,1.1547005383792515,26.333333333333332,1.1547005383792515,0.0,
pc0.20_pmop0.10_pbf1.00,200,2,0.2,0.1,0.7000000000000001,1.0,3,26.333333333333332,0.5773502691896258,26.333333333333332,0.5773502691896258,0.0,
pc0.10_pmop0.10_pbf1.00,200,2,0.1,0.1,0.8,1.0,3,25.666666666666668,1.1547005383792515,25.333333333333332,1.5275252316519465,0.0,
pc0.10_pmop0.20_pbf1.00,200,2,0.1,0.2,0.7,1.0,3,25.666666666666668,2.081665999466133,25.666666666666668,2.081665999466133,0.0,
pc0.20_pmop0.20_pbf0.50,200,2,0.2,0.2,0.6000000000000001,0.5,3,24.666666666666668,1.1547005383792515,24.666666666666668,1.1547005383792515,0.0,
pc0.30_pmop0.10_pbf1.00,200,2,0.3,0.1,0.6,1.0,3,24.666666666666668,2.3094010767585034,24.666666666666668,2.3094010767585034,0.0,
pc0.20_pmop0.10_pbf0.50,200,2,0.2,0.1,0.7000000000000001,0.5,3,24.0,1.0,24.0,1.0,0.0,
pc0.20_pmop0.20_pbf1.00,200,2,0.2,0.2,0.6000000000000001,1.0,3,24.0,2.0,24.0,2.0,0.0,
pc0.30_pmop0.20_pbf1.00,200,2,0.3,0.2,0.49999999999999994,1.0,3,24.0,1.7320508075688772,24.0,1.7320508075688772,0.0,
pc0.10_pmop0.20_pbf0.50,200,2,0.1,0.2,0.7,0.5,3,23.333333333333332,1.1547005383792515,23.333333333333332,1.1547005383792515,0.0,
pc0.30_pmop0.20_pbf0.50,200,2,0.3,0.2,0.49999999999999994,0.5,3,23.333333333333332,3.0550504633038935,23.0,2.6457513110645907,0.0,
pc0.30_pmop0.10_pbf0.50,200,2,0.3,0.1,0.6,0.5,3,22.666666666666668,2.081665999466133,22.666666666666668,2.081665999466133,0.0,
