condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop100_t3,0,50400,26.0,25.16,26.0,3540.0,69.41176470588235,10200.0,200.0,0.6529411764705884
problem1_3bit_pop100_t3,1,50401,18.0,17.06,18.0,3090.0,60.588235294117645,10200.0,200.0,0.6970588235294118
problem1_3bit_pop100_t3,2,50402,14.0,13.34,14.0,3774.0,74.0,10200.0,200.0,0.63
problem1_3bit_pop100_t3,3,50403,12.0,11.48,12.0,3602.0,70.62745098039215,10200.0,200.0,0.6468627450980391
problem1_3bit_pop100_t3,4,50404,22.0,20.18,22.0,3174.0,62.23529411764706,10200.0,200.0,0.6888235294117646
problem1_3bit_pop100_t3,5,50405,16.0,15.7,16.0,5466.0,107.17647058823529,10200.0,200.0,0.4641176470588236
problem1_3bit_pop100_t3,6,50406,6.0,6.0,6.0,8926.0,175.01960784313727,10200.0,200.0,0.12490196078431375
problem1_3bit_pop100_t3,7,50407,62.0,59.42,62.0,3572.0,70.03921568627452,10200.0,200.0,0.6498039215686273
problem1_3bit_pop100_t3,8,50408,6.0,4.0,6.0,9206.0,180.50980392156862,10200.0,200.0,0.09745098039215687
problem1_3bit_pop100_t3,9,50409,10.0,9.56,12.0,8084.0,158.50980392156862,10200.0,200.0,0.20745098039215687
