condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation,ideal_found,first_ideal_generation
3bit_problem2,0,40100,-20.69643999999999,-65.2298296,-20.69643999999999,172851.0,3389.235294117647,214200.0,4200.0,0.19303921568627452,0,-1
3bit_problem2,1,40101,-84.16020000000003,-88.63968540000003,-84.16020000000003,149184.0,2925.176470588235,214200.0,4200.0,0.3035294117647059,0,-1
3bit_problem2,2,40102,-80.41008000000002,-84.57926660000001,-65.70000000000002,126882.0,2487.8823529411766,214200.0,4200.0,0.4076470588235295,0,-1
3bit_problem2,3,40103,-74.54352000000003,-78.70400200000003,-74.54352000000003,155001.0,3039.235294117647,214200.0,4200.0,0.27637254901960784,0,-1
3bit_problem2,4,40104,-89.13300000000002,-91.71952560000004,-84.16020000000003,150864.0,2958.1176470588234,214200.0,4200.0,0.2956862745098039,0,-1
3bit_problem2,5,40105,-21.091080000000005,-28.035171600000012,-21.091080000000005,121380.0,2380.0,214200.0,4200.0,0.43333333333333335,0,-1
3bit_problem2,6,40106,-27.364200000000007,-74.48867480000001,-27.364200000000007,141246.0,2769.529411764706,214200.0,4200.0,0.3405882352941177,0,-1
3bit_problem2,7,40107,-84.16020000000003,-92.42978060000002,-84.16020000000003,159201.0,3121.5882352941176,214200.0,4200.0,0.25676470588235295,0,-1
3bit_problem2,8,40108,-89.13300000000002,-90.52910360000001,-80.51008000000002,181587.0,3560.529411764706,214200.0,4200.0,0.1522549019607843,0,-1
3bit_problem2,9,40109,-80.41008000000002,-83.75373139999999,-74.54352000000003,166740.0,3269.4117647058824,214200.0,4200.0,0.22156862745098038,0,-1
