condition,problem,encoding,pop_size,tournament_size,n_runs,best_of_run_mean,best_of_run_std,final_best_mean,final_best_std,mean_execute_calls_per_generation,mean_execute_calls_nominal_per_generation,execute_call_reduction_ratio,mean_duplicate_ratio_per_generation,ideal_found_fraction,first_ideal_generation_mean
problem1_3bit_pop50_t2,problem1,3bit,50,2,10,14.2,9.68159766429763,12.4,9.276014469827246,60.72941176470588,100.0,0.39270588235294124,0.3927058823529411,,
problem1_3bit_pop50_t3,problem1,3bit,50,3,10,13.4,3.893013685508382,13.4,3.893013685508382,45.14509803921569,100.0,0.5485490196078431,0.5485490196078431,,
problem1_3bit_pop50_t5,problem1,3bit,50,5,10,12.4,6.915361322607968,12.2,6.696599468718765,40.392156862745104,100.0,0.5960784313725489,0.5960784313725491,,
problem1_3bit_pop100_t2,problem1,3bit,100,2,10,14.2,6.892830413633511,13.6,6.979334575094614,145.21568627450978,200.0,0.2739215686274511,0.27392156862745093,,
problem1_3bit_pop100_t3,problem1,3bit,100,3,10,19.4,16.249444434947442,19.2,16.362558887085275,102.81176470588234,200.0,0.4859411764705883,0.4859411764705882,,
problem1_3bit_pop100_t5,problem1,3bit,100,5,10,16.2,7.627435858647241,16.2,7.627435858647241,79.92549019607843,200.0,0.6003725490196079,0.6003725490196079,,
problem1_3bit_pop200_t2,problem1,3bit,200,2,10,23.0,9.486832980505138,22.0,9.285592184789413,295.6823529411765,400.0,0.26079411764705884,0.26079411764705884,,
problem1_3bit_pop200_t3,problem1,3bit,200,3,10,34.4,21.76235281397671,33.8,22.39940475399588,195.53333333333336,400.0,0.5111666666666665,0.5111666666666667,,
problem1_3bit_pop200_t5,problem1,3bit,200,5,10,35.8,17.34486795696192,35.8,17.34486795696192,107.74509803921569,400.0,0.7306372549019609,0.7306372549019609,,
problem2_3bit_pop50_t2,problem2,3bit,50,2,10,-122.933592,19.534065922797424,-127.26738000000003,17.864069275889463,819.535294117647,1050.0,0.21949019607843145,0.2194901960784314,0.0,
problem2_3bit_pop50_t3,problem2,3bit,50,3,10,-114.38150000000003,28.44814980225682,-116.84353600000004,28.099379936859513,582.9764705882352,1050.0,0.4447843137254903,0.4447843137254902,0.0,
problem2_3bit_pop50_t5,problem2,3bit,50,5,10,-106.92540000000004,18.753872209136503,-106.92540000000004,18.753872209136503,440.71176470588233,1050.0,0.5802745098039216,0.5802745098039216,0.0,
problem2_3bit_pop100_t2,problem2,3bit,100,2,10,-82.56018400000002,28.652491188866488,-85.71374000000002,29.875578619972096,1408.1529411764704,2100.0,0.3294509803921569,0.3294509803921569,0.0,
problem2_3bit_pop100_t3,problem2,3bit,100,3,10,-81.22116000000003,32.80212131709913,-84.11979200000002,32.66057009763466,1018.2529411764706,2100.0,0.5151176470588235,0.5151176470588235,0.0,
problem2_3bit_pop100_t5,problem2,3bit,100,5,10,-84.66433600000002,11.824382042229713,-86.06796400000002,13.170279567604902,767.9823529411764,2100.0,0.6342941176470589,0.6342941176470588,0.0,
problem2_3bit_pop200_t2,problem2,3bit,200,2,10,-72.03391600000002,20.26913719600275,-77.67435200000003,20.020086998703633,3015.4764705882358,4200.0,0.28202941176470575,0.28202941176470586,0.0,
problem2_3bit_pop200_t3,problem2,3bit,200,3,10,-53.48506800000001,24.74409963994057,-53.48506800000001,24.74409963994057,1578.129411764706,4200.0,0.6242549019607844,0.6242549019607843,0.0,
problem2_3bit_pop200_t5,problem2,3bit,200,5,10,-67.28068400000002,26.95868136315903,-69.47902400000001,25.912264743776028,1486.9647058823527,4200.0,0.6459607843137256,0.6459607843137254,0.0,
